SIGNAL NAME,SIMPLE EXPLANATION
GPUVCORE_EN,"GPUVCORE_EN enables GPU VCORE when it is high, a power rail necessary for the GPU to function so you can get an image on the screen. Signals with _EN on the end enable whatever came before the _EN if the signal is high. "
PP1V8_SSD0,PP1V8_SSD0 is a power rail responsible for powering the soldered on NAND memory for the SSD on newer Macbook Pros
SPKRAMP_RESET_L,
LCD_HPD,
PPVCCIO_S0_CPU,"PPVCCIO_S0_CPU is a power rail responsible for powering the part of the CPU responsible for communicating with other portions of the machine prior to PPVCORE_S0_CPU being present and must be present before vcore, PPVCCIO_S0_CPU is present when the machine is in an on, RUNNING state. "
PM_SLP_S5,
EN_MVR,
PP5V_S3_REG,
PM_S0_PGOOD, PM_S0_PGOOD is created when CPUVR_PGOOD and ALL_SYS_PWRGD are present and branches off to become PM_PCH_PWROK. PM_S0_PGOOD and SMC_DELAYED_PWRGD are necessary to create SYS_PWROK_R and PM_PCH_SYS_PWROK 
12V_S5,
PP20V_USBC_XB_VBUS,PP20V_USBC_XB_VBUS is 20v in from the USB-C charger on USB-C powered Macbook Pros.
PP1V8_UPC_TB_LDOD,
SYSCLK_CLK32K_RTC,
PPVBAT_G3H_CHGR_REG,"This is battery power that flows to the system AFTER it has gone through a current sense resistor, before it goes through a fuse to become PPBUS_G3H power rail. "
SSD_CLKREQ_L,
PP1V8_UPC_TA_LDOA,
SMC_S4_WAKESRC_EN,
CHGR_AGATE,
CHGR_RST_L,
SMC_BMON_ISENSE,
PP1V8_S5,PP1V8_S5 is a 1.8v power rail present when the machine is in an S5 soft off state. 
PP3V3_G3S,PP3V3_G3S is a 3.3v power rail present when the machine is in a G3S standby state. 
PPDDR_S3_REG,
PP3V42_G3H_REG,PP3V42_G3H_REG is another way to say PP3V42_G3H. PP3V42_G3H_REG and PP3V42_G3H are a power rail present when the machine is in a G3H global system hardware off state and is the first rail that should be generated in Macbooks that use it. 
G2_EN,
SSD_RESET_L,"SSD_RESET_L is a signal that puts the SSD in reset mode when it is low. This means the SSD will not be accessible when this signal is asserted.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
BKLT_SCL,BKLT_SCL is an I2C signal clock line between the LED driver that creates the LCD backlight power rail that powers the backlight in the screen and the screen. The screen needs to speak to the LED driver on this line before backlight voltage will be created.
PP1V1_UPC_TB_LDO_BMC,
PPVCORE_S0_CPU_REG,PPVCORE_S0_CPU_REG is a single phase of CPU VCORE before it is combined into PPVCORE_S0_CPU 
PPVCORE_S0_AXG_REG,PPVCORE_S0_AXG_REG Is a single phase of CPU VCORE for the graphics processor integrated into the CPU before it is combined into one PPVCORE_S0_AXG rail
PPBUS_G3H_CPU,PPBUS_G3H_CPU is the 
PLT_RST_BUF_L,
PP1V8_UPC_TA_LDOD,
PP1V8_UPC_TB_LDOA,
PP5V_G3H,PP5V_G3H is a 5v rail present when the machine is in a G3H mechanical off state
PP1V35_S3,PP1V35_S3 is a 1.35v power rail present when the machine is in an S3 suspend to RAM state
CPU_VR_EN,"CPU_VR_EN is an enable signal for CPU VCORE that is present when it is high. Signals with EN on the end enable whatever came before the EN if the signal is high. Signals with EN on the end enable whatever came before the EN if the signal is high. ALL_SYS_PWRGD, PM_RSMRST_L, PM_SLP_SUS_L, and PM_SLP_S3_L are necessary prerequisites for CPU_VR_EN to be present. "
PP1V05_S5,"PP1V05_S5 is a 1.05v power rail present when the machine is in an S5 soft off state. On 2008-2009 15” and 17” Macbook boards, this often gets stuck at 0.3v due to a bad C7771 capacitor. "
PP3V3_S5_SMC_VDDA,"PP3V3_S5_SMC_VDDA is a 3.3v power rail present when the machine is in an S5 soft off state that powers the SMC that comes from PP3V3_S5. A blown or corroded L4901 inductor behind it can kepe it from working, inductor number will differ depending on your board. "
BKLT_PWM,"BKLT_PWM sets the brightness of the screen. The system will send a PWM signal to BKLT_PWM pin to set brightness. If this is low, backlight voltage will boost higher than PPBUS_G3H input, but not enough to make the screen light properly."
PP12V_S5,
SYSCLK_CLK12M_SMC,
SMC_CLK32K,
SMC_FAN_0_CTL,SMC_FAN_0_CTL is a line between the SMC and the fan that controls fan speed that is frequently disturbed when someone inexperienced knocks resistors in the area off with their fingernail or screwdriver when unplugging the fan. 
PP12V_G3H,
5V_G3S,
CPUVR_PGOOD,CPU_VR_PGOOD Is a signal present when CPU_VR_EN is presenT. CPU_VR_PGOOD is a prerequisite along with ALL_SYS_PWRGD to create PM_S0_PGOOD and PM_PCH_PWROK and PM_PCH_SYS_PWROK which are necessary for the machine to turn on and boot.
ADAPTER_EN,"SMC_ADAPTER_EN enables the machine to work off of the power adapter when the proper power adapter is attached. Attacching an 85w Macbook Pro 15” power adapter to a 13” Macbook that requires a 60w power adapter is ok, attaching a 45w Macbook Air power adapter to a 15” macbook Pro that needs an 85w power adapter will result in SMC_ADAPTER_EN missing. "
HDA_RST_L,
SMBUS_SMC_BSA_SCL,"SMBUS_SMC_BSA_SCL is another way to say SMBUS_SMC_5_G3_SCL, look at the definition provided for SMBUS_SMC_5_G3_SCL as it applies to "
TBA_AUX_DET,
PPVIN_S0SW_LCDBKLT,PPVIN_S0SW_LCDBKLT is PPBUS_G3H backlight voltage entering the backlight boost circuit once the transistor has been told to allow it through. 
1V05_S0,
PMIC_SHUTDOWN_L,
PP3V3_S0GPU,
SMC_SENSOR_PWR_EN,
PP1V05_S0SW_PCH_HSIO,
P5VS3_EN,
SYS_PWROK_R,
SSD_PWR_EN,SSD_PWR_EN is a signal that tells the chip making the power rail for the SSD to turn on when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
LCD_HPD_CONN,
I2C_BKLT_SCL,
BMON_ISENSE,
PMU_PVDDMAIN_EN,
EN_VR1,
CHGR_LGATE,
P3V3S3_EN,P3V3S3_EN is a signal that turns on the PP3V3_S3 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PP1V8_SUS,PP1V8_SUS is a 1.8v power rail active in a suspend state.
PPVBUS_LIO,
PPVTTDDR_S3,PPVTTDDR_S3 is a 3.3v power rail that powers the DDR RAM when the machine is in an S3 suspend to RAM state. 
PM_SUS_EN,
PP3V3_LDO3V,
SMBUS_BATT_SCL,"SMBUS_BATT_SCL is the clock line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED."
820_3115,
P3V3_S5,
3V_S5,
EDP_INT,
PP3V3_SW_LCD,
DSW_PWRGD,
PPBUS_S5_HS_OTHER5V,
LID_OPEN,
LDO_RTC,
CHGR_RST_IN,
SYSCLK_CLK25M_SB,
PPVCORE_S0_GPU,
PP1V35_S3_MEM,
PP15V_TBT,
PP5V1_CHGR_VDD,
EDP_INT_AUX_P,
PP3V3_PMICLDO,
TBA_VDDP,
LVDS_IG_PANEL_PWR,
PP1V8_S5G,
PP3V3_S5G,
CHGR_CSO_N,"CHGR_CSO_N is one of the current sense lines for the battery. Resistance between CHGR_CSO_N and CHGR_CSO_P should be the resistance should be the total series resistance of the current sense resistors in the circuit, usually about 2.2 ohms"
PM_SLP_S3_R_L,
BUTTON_DISABLE,BUTTON_DISABLE disables the trackpad when SMC_LID is below 0.5v and the system believes the lid is closed. 
PBUS_VSENSE,
LDO_BMC,
SLP_S5,
SMBUS_CHGR_SDA,"SMBUS_CHGR_SDA is the data line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED."
PP1V0_S0GPU,
LVDS_IG_BKL_ON,"LVDS_IG_BKL_ON is equivalent to LCD_BKLT_EN. This signal usually goes to an LED driver used for creating a power rail for the LCD screen backlight, to tell it to turn on & create this rail. "
PPVBAT_G3H_CHGR_R,This is a power rail between the battery and a current sense resistor before the battery power feeds current to the rest of the machine. 
PMIC_EN_P3V3S5,
PP1V2_S0SW,
PPBUS_HS_OTH5V,
SOC_FORCE_DFU,
PPBUS_G3HOT,
PPVCORE_S0_AXG_R,
PP20V_DCIN_FUSE,
PP5V1_CHGR_VDDP,
LVDS_DDC_CLK,"LVDS_DDC_CLK Is the DDC clock line between the graphics processor and the screen. DDC is a protocol for identifying a screen so that you know what resolution/refresh rate it wants. This is necessary for screen detection, inductor on this data line must be good and DDC voltage must be going to the LCD screen for it to work. "
PPBUS_S0_LCDBKLT_FUSED,
PPBUS_S5_HS_OTHER3V3,
PPBUS_HS_GPU,
3V3_S2,
P3V3GPU_EN,
PPBUS_3GH,PPBUS_3GH is a typo of PPBUS_G3H. If you see someone type PPBUS_3GH assume they meant to type PPBUS_G3H
PP5V_S0_FET,
SPI_MLB_CLK,
MEMVTT_EN,
PPBUS_G3H_R,
SMC_RST_L,
P3V3MAIN_PGOOD,
PP1V25_S2,
PP5V_S2,
CPUIMVP_TON,
PPDDR_S3_REG_R,
PPVOUT_SW_LCDBKLT_FB,
PPVCORE_SO_AXG,
LID_CLOSE,
PP3V3_TBTLC,
PP3V3_S0SW_SSD,
SMC_TCK,SMC_TCK is a signal that must be pulled up to 3.42v in order for the SMC to be in the proper mode to function. Often this is not pulled up because of corrosion or corroded resistors by the SMC. 
PP12V_S0,
SMC_ON_OFF_L,
I2C_BKLT_SDA,"I2C_BKLT_SDA is a data line between the LCD screen and the LED driver. This data line cannot short to ground. If it does, the screen cannot talk to the LED driver, and the LED driver will not allow the circuit to produce a backlight."
BKLT_SDA,"BKLT_SDA is a data line between the LCD screen and the LED driver. This data line cannot short to ground. If it does, the screen cannot talk to the LED driver, and the LED driver will not allow the circuit to produce a backlight."
PPBUS_PMIC,
DFR_TOUCH_RESET_L,
PCH_DSWVRMEN_L,
PPBUS_G3H_SSD0,
PP1V8_S2,
P3V42_G3H,P3V42_G3H is a typo of PP3V42_G3H
PPVIN_S0SW_LCDBKLT_FET,
PP1V1_LDO,
PPVIN_S5_HS_GPU_ISNS,PPVIN_S5_HS_GPU_ISNS is PPBUS_G3H after going through a current sense resistor to components that create power rails for the GPU. 
CHGR_CSO_P,"CHGR_CSO_P is one of the current sense lines for the battery. Resistance between CHGR_CSO_P and CHGR_CSO_N should be the resistance should be the total series resistance of the current sense resistors in the circuit, usually about 2.2 ohms"
PP1V5_S3RS0,PP1V5_S3RS0 is a 1.5v power rail present when the machine is in an S3 suspend to RAM state
CPUIMVP_PGOOD,CPUIMVP_PGOOD is a signal from the CPU VCORE buck converter IC that indicates CPU power is good which is necessary to create PM_S0_PGOOD.
KERNEL_TASK,"KERNEL_TASK is a process that will take up all the CPU and cause the macbook to run very slow when there is a sensor issue. When you see KERNEL_TASK as a process taking up lots of CPU and the machine is working very slow or has loud fans, use a program like hwmonitor to check voltage, amperage, and temperature sensors and look for something that doesn’t look right."
P5VS3_EN_L,"P5VS3_EN_L is a signal that enables the PP5V_S3 power rail when it is low.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PPVCORE_S0_CPU_PH1,
PP4V5_AUDIO_ANALOG,
BUF_EDP_PANEL_PWR_EN,
HALL_SENSOR_LEFT,"HALL_SENSOR_LEFT is a signal from the hall sensor on the left side of the machine that indicates that the lid has been closed. This is necessary for setting SMC_LID properly so the machine knows whether it is closed or open. When this is low, the machine will think it is closed which may cause it to go to sleep or have no backlight on the screen"
SMC_S5_PWRGD_VIN,
UPC_PMU_RESET,
12V_G3H,
SPIROM_USE_MLB,
PP18V5_DCIN_FUSE,
SMC_LRESET_L,SMC_LRESET_L is a typo of SMC_RESET_L. 
CHGR_CSI_N,"CHGR_CSI_N is one of the current sense lines for the charger. Resistance between CHGR_CSI_N and CHGR_CSI_P should be the resistance should be the total series resistance of the current sense resistors in the circuit, usually about 20.02 ohms"
LCD_PSR_EN,
SMC_TDI,SMC_TDI is a signal that must be pulled up to 3.42v in order for the SMC to be in the proper mode to function. Often this is not pulled up because of corrosion or corroded resistors by the SMC. 
SMC_TPAD_RST_L,"SMC_TPAD_RST_L is a signal that comes from the trackpad that can reset the SMC when it is low.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v. The trackpad having corrosion from liquid damage is a very common cause of no light on the magsafe charger & the system not turning on, when the trackpad or trackpad cable is corroded and holding this line down. "
PPVOUT_S0_PCH_DCPRTC,
SSD_CLKREQ_CONN_L,
PPVIN_2V7NAND_LB,
PP5V_S4_X_USBC,
PP3V3_G3H_PMU_VDDMAIN,
PP0V9_SLPDDR,
PPVCC_CPU_PH1,
PP3V_G3H_RTC,PP3V_G3H_RTC is a 3v power rail present when the machine is in a G3H mechanical off state that powers the RTC circuit. 
PP3V3_S2_UPC,
PPVCORE_S0_GFX_REG,PPVCORE_S0_GFX_REG is a power rail that powers the GPU in an S0 working state. 
VCC_MAIN,"VCC_MAIN is the main power rail in an iPhone that comes from the battery, similar to PPBUS_G3H in a macbook."
PPVOUT_S0_KBDBKLT,"PPVOUT_S0_KBDBKLT is a power rail that powers the LED light in the keyboard backlight. When this is low or missing, the keyboard will not light up."
P5V_S3_REG,
PP1V35_CAM,PP1V35_CAM is a 1.35v power rail to power the webcam. 
PP3V3_TBT_X_SX,
PP1V5_S3_CPU_VCCDQ,
CPUVR_PGOOD_R,CPUVR_PGOOD_R is a signal that comes from CPU_VR_EN that is necessary along with ALL_SYS_PWRGD to create PM_S0_PGOOD
SMC_TMS,SMC_TMS is a signal that must be pulled up to 3.42v in order for the SMC to be in the proper mode to function. Often this is not pulled up because of corrosion or corroded resistors by the SMC. 
SMC_EXTAL,
SMC_XTAL,
LCD_MUX_SEL,
PP1V8_SSD_COLD,
SMC_AUX_OK,
PP0V82_SLPDDR,
PPVCC_SO_CPU,
PP3V3_S5_REG_R,
PP18V5_S5,
PP5V_SO,"PP5V_SO is a typo of PP5V_S0, which is a 5v power rail present when the machine is in an S0 working state. The person who typed PP5V_SO thought that the S0 in PP5V_S0 was SO, if you see PP5V_SO assume the user made a typo and meant to type PP5V_S0"
PP1V05_S0_CPU_VCCPQE,
PM_MEM_PWRGD,
SLP_S4,
SSD_RESET_CONN_L,"SSD_RESET_CONN_L is a signal that goes to the SSD that will put it in RESET mode which will keep it from working, when SSD_RESET_L is present. _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v. "
CPU_PWRGD,
PPVCC_S0_CPU_PH1,
PP3V3_S5_SSD,
SSD_RESET_LB_L,
DFR_TOUCH_LID,
PP1V0_SUS,
PCH_RTC_RESET_L,
PP3V3_G3H_SOCPMU,
PP3V3_G3SSW_SNS,
PP0V9_SSD,PP0V9_SSD is a power rail that powers the soldered on NAND memory for the SSD on Macbooks with soldered on storage and must be present for the SSD to show up. 
1V8_SLPS2R,
CBC_ON,
PP1V8_AON,
PP3V8_AON_VDDMAIN,
PP1V5_S3RS0_CPUDDR,
A1502_820,
MEM_RESET_L,
PP1V05_PRIM,
PP1V05_S5_MCP,
SMC_MANUAL_RST_L,"SMC_MANUAL_RST_L resets the SMC when low.   _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
P5V3V3_REG_EN,
SMC_WAKE_L,
PPBUS_CPU_IMVP_ISNS,
LCDBKLT_BOOST,LCDBKLT_BOOST is connected to the SWITCH(SW) pin of the LED driver and is switched to ground quickly after the inductor in the DC to DC boost circuit that boosts PPBUS_G3H to backlight voltage for the screen. 
AP_CLKREQ_L,
1V05_SUS,
PPVCCGT_S0G,
PP1V25_VREF,
PP3V3_2V7_NAND_VCC,
SPKRAMP_INT_L,
PM_SUS_L,
PP5V1_S4SW,
PPVCC_S0,
PPVCORE_S0,
B_LDO_BMC,
CHGR_CSI_P,"CHGR_CSI_P is one of the current sense lines for the charger. Resistance between CHGR_CSI_P and CHGR_CSI_N should be the resistance should be the total series resistance of the current sense resistors in the circuit, usually about 20.02 ohms"
PPBUS_SW_BKL,
SMBUS_CHGR_SCL,"SMBUS_CHGR_SCL is the clock line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED."
SMC_TDO,SMC_TDO is a signal that must be pulled up to 3.42v in order for the SMC to be in the proper mode to function. Often this is not pulled up because of corrosion or corroded resistors by the SMC. 
SMC_CPU_ISENSE,
SMBUS_BATT_SDA,"SMBUS_BATT_SDA is the data line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED."
PP3V3_S5_PWRCTL,
PP3V3_S0_FET,
P5VP3V3_VREF2,
SYS_DETECT,
HALL_SENSOR_RIGHT,"HALL_SENSOR_RIGHT is a signal from the hall sensor on the RIGHT side of the machine that indicates that the lid has been closed. This is necessary for setting SMC_LID properly so the machine knows whether it is closed or open. When this is low, the machine will think it is closed which may cause it to go to sleep or have no backlight on the screen"
PPVCCPCH_S5G,
AP_RESET_L,"AP_RESET_L resets the wifi hardware when it is low, which will keep it from working. AP_RESET_L needs to be high for reset to not be asserted.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
STORAGE_LB_EN,
LDO_CORE,
PP5V_S4_T_USBC,
PPVIN_G3H_P5VG3S,
USBC_XA_CC1,
IPD_LID_OPEN,
PP1V2_SSD_HOT,
PP1V25_SLPS2R_SMC_AVREF,
PPVCCSA_S0_REG,
PP3V8_AON_MPMU_ISNS_VIN,
PP1V5_UPC_TB_LDO_CORE,
PP3V3_ENET,
PPVIN_SW_T29BST,
CHGR_SGATE,
PP3V3_S4_TPAD,
P5VP3V3_VREG3,
PP3V3_S5_SMC,
RESET_L,
PP3V3_S0SW_SSD_FLT,
P5VS4_PGOOD,
PP5V_LDO5V,
LDO_1V8A,
LDO_1V8D,
1V1_LDO,
3V3_S0SW_LCD,3V3_S0SW_LCD is a 3.3v power rail present when the system is in an S0 working state that powers the LCD screen image circuitry. This is necessary to get an image on the screen
PPVCCQ_ANI_SSD0,
PPVBAT_AON,
LPDP_INT_HPD,
PPDCIN_G3H_INRUSH,
PP18V5_DCIN_ISOL_R,
PP1V8_S0_CPU_VCCPLL_R,
PP1V2_S0,
LVDS_DDC_DATA,"LVDS_DDC_DATA Is the DDC data line between the graphics processor and the screen. DDC is a protocol for identifying a screen so that you know what resolution/refresh rate it wants. This is necessary for screen detection, inductor on this data line must be good and DDC voltage must be going to the LCD screen for it to work. "
PPVRTC_G3_OUT,PPVRTC_G3_OUT is a 3.3v power line that comes out of the clock chip. 
P3V3S5_EN_R,P3V3S5_EN_R is an enable signal that turns on the PP3V3_S5 power rail.  Signals with _EN on the end enable whatever came before the _EN if the signal is high. The _R means the signal is asserted when the voltage is high(3.3v). 
PP3V3_S4_TBTAPWR,
SMC_XTAL_R,
P5VS4RS3_EN_R,P5VS4RS3_EN_R is an enable signal that turns on the PP5V_S4RS3 power rail. Signals with _EN on the end enable whatever came before the _EN if the signal is high. The _R means the signal is asserted when the voltage is high(3.3v). 
PM_BATLOW,PM_BATLOW is a signal that tells the system the battery is too low for it to turn on & keeps it from turning on
TPAD_SPI,
PPVBUS_E85,
PPCHGR_DCIN,
CHGR_AGATE_DIV,
SMC_BATT_ISENSE,
SSD_PWR_EN_L,
SMC_AVREF,
SMC_CPU_VSENSE,
PP1V_S5G,
PM_EN_PVXS5,
PP3V3_G3H_SSD0_SNS,
LDO_3V3,
USBC_XA_CC2,USBC_XA_CC2 is a line between the USB-C muxing chip such as the CD3217 or CD3215 and the USB-C charger. Communication must happen on this line in order for the USB-C charger to put out 20v.
PPVTT_S0_DDR_LDO,
PPDC_IN,
PPVCORE_CPU,"PPVCORE_CPU is an abbreviation of PPVCORE_S0_CPU. When you see someone type PPVCORE_CPU, assume they meant to type PPVCORE_S0_CPU."
PP1V1_S3,
LCDBKLT_EN_DIV,LCDBKLT_EN_DIV must be low in order for the P channel MOSFET to have a lower voltage on the gate than is present on the source to allow backlight voltage to flow through the backlight circuit. 
CHGR_ICOMP,
CHGR_CELL,"CHGR_CELL is a signal going to the ISL6258, ISL6259, ISL9239, or ISL9240 battery charging chip that sets PPBUS_G3H voltage. Macbook Airs with 2 cells in series  in their batteries will have PPBUS_G3H voltages of 8.15v to 8.55v, Macbooks & Macbook Pros with 3 cells in series in their batteries will have PPBUS_G3H voltages of 12.23 to 12.56v."
CHGR_VCOMP,
SPI_MLB_CS_L,
EDP_BKLT_PSR_EN,
PCIE_RESET_L,
1V5_S0,
PP5V_G3H_LDO,
CPUVR_PHASE1,
PP5V_S0_BKLT_A,
PP5V_S0_BKLT_D,
PP1V_S3,
PP3V3_TBT_X_S0,
3V0_AON,
SSD_BOOT_LB_L,
CPUCORE_FCCM,
PBTN_OUT,
CHGR_AUX_DET,
PP1V2_S2,
PPV5_S5,
PM_PCH_APWROK,
PPBUS3V42_G3H,
PBUS_G3H,"This is a typo of PPBUS_G3H When you see PBUS_G3H, assume they meant to type PPBUS_G3H"
P5V_S3,"This is a typo of PP5V_S3 When you see P5V_S3, assume they meant to type PP5V_S3"
P1V05S0_FB,
PPVCORE_S0_MCP,
SLP_S3,
BLK_EN,"This is a typo of BKL_EN When you see BLK_EN, assume they meant to type BKL_EN"
LCDBKLT_EN_DIV_L,
TPAD_VBUS_EN,
SMBUS_SMC_0_S0_SCL,"SMBUS_SMC_0_S0_SCL is a clock line on the data line between the system management controller(SMC), temperature sensors, GPU, and ALS(ambient light sensor). If this line is pulled down the machine may run slow or have the fans run fast all the time because the SMC can’t tell what the temperature of parts of the machine like fin stack are. Usual problem is bad webcam, unplug webcam to see if it fixes problem. "
PPBUS_G3,"This is a typo of PPBUS_G3H. When you see PPBUS_G3, assume they meant to type PPBUS_G3H"
5V_SUS,
PP3V3_S5_SSD_LB,
PP1V2_S3_CPUDDR,
PMU_RSLOC_RST_L,
P3V3G3H_VBST,
PP5V_S4SW,
PP1V8_SSD,
PP5V_S0_ALSCAM_F,PP5V_S0_ALSCAM is a power rail for the webcam and the ambient light sensor.
PPVOUT_LCDBKLT,PPVOUT_LCDBKLT is the backlight power rail that is responsible for creating a backlight o nthe screen. 
BATLOW_L,"This signal tells the system that the battery is low, when the signal is low. Anytime you see an “_L” after a signal, that means that the signal is present when it is a low voltage, typically 0 volts to 0.5 volts"
PP1V8_SDRAM,
PPVCC_CPU_S0,
PPBUS_X239_REG,
PP3V3_SW_LCD_UF,
PPVIN_S4_TPAD,
PP5V_S0_LCD,PP5V_S0_LCD is 5 volts going to the LCD when the machine is in an S0 working state to power the image circuitry of the LCD. When this is missing it is usually because 1) The screen is not detected or is the wrong screen 2) the GPU is not working 3) The inductor between the LCD connector & the 5v rail is blown due to someone plugging the cable in wrong 4) the chip creating it is dead
PP20V_USBC_XA_VBUS_F,
PPVCC_CPU,
PP1V1_UPC_XA,
PP5V_S4S3,
PP3V3_S0_LEFT,
PPVIN_S5_HS_OTHER_ISNS,
TBT_A_HV_EN,
CHGR_BOOT,
SPI_MLB_MOSI,SPI_MLB_MOSI is a line between the SPI ROM BIOS chip and resistors that sit between it and the PCH. This often corrodes on Macbook Airs due to liquid damage and results in missing PM_SLP_S4_L and no bootup.
DDRREG_EN,DDRREG_EN is an enable signal that turns on power rails for DDR memory
PLT_RST, PLT_RST stands for platform reset. 
PPVCC_S0_CPU_PH2,
WS_KBD_ONOFF_L,"WS_KBD_ONOFF_L is a signal that comes from the keyboard that tells the SMC that the power button has been pressed.  L means whatever before the L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v. This signal directly affects SMC_ONOFF_L"
CPUIMVP_AXG_PGOOD,
SMC_PME_S4_WAKE_L,
PPVIN_S5_HS_OTHER3V3_ISNS,
1V8_SUS,
1V05_S5,
LCDBKLT_SW,
PP5V_S0_T139,
PP1V8_S0SW_DFR,
PPBUS_HS_3V3G3H_T,
PPBUS_G3H_SSD0_SNS,
PPVCCSA_S0G,
PP2V7_NAND,PP2V7_NAND is a power rail that powers the soldered on NAND memory for the SSD on Macbooks with soldered on storage and must be present for the SSD to show up. 
3V3_AON,
USBC_XB_CC1,USBC_XB_CC1 is a line between the USB-C muxing chip such as the CD3217 or CD3215 and the USB-C charger. Communication must happen on this line in order for the USB-C charger to put out 20v.
PCH_PWRBTN_L,
O_O,
PP3V3_AON,
DC_IN,
PP1V1_UPC_X,
PP3V3_G3H_SSD1_SNS,
PM_SLP_S4L,"This is a typo of PM_SLP_S4_L When you see PM_SLP_S4L, assume they meant to type PM_SLP_S4_L"
AP_RESET_CONN_L,
LED_RETURN,
RTC_CLK32K_XTALIN,
LCDBKLT_EN,
PP3V_S0,
CHGR_VFRQ,
Z2_BOOST_EN,
PPBUS_S4_X239,
PP3V3_S5RS3RS0_SYSCLKGEN,
SMC_ON,
PP3V_S5,
USB_PWR_EN,
LED_RETURN_1,
P3V3S5_ENTRIP,
5V3V3_REG_EN,
SMC_CPU_HI_ISENSE,
P3V3SSD_VMON,
DCIN_G3H,
LCD_MUX_EN,
PANEL_P5V_EN,
PPDCIN_G3H_CHGR_R,
FAN_RT_PWM,
SMC_CPU_FSB_ISENSE,
PPDCPRTC_PCH,
PPVCORE_S0_CPU_PH2,
PPVOUT_G3_PCH_DCPRTC,
PM_PGOOD_CPUVCC,
DFR_TOUCH_INT_L,
LPSR_EN_LB_L,
PPVCCIO_S0G,
PPVCC_CPU_PH2,
PM_EN_P3V3S5,
PP_VCC_MAIN,
ALL_SYS_GOOD,"This is a typo of ALL_SYS_PWRGD When you see ALL_SYS_GOOD, assume they meant to type ALL_SYS_PWRGD"
P5V_3V3_SUS_EN,
PP3V3_S4_SOC_PMU,
GPU_GOOD,
PPOV805_S1_VDD_FIXED,
PPDCIN_AON,
PPBUS_SW_LCDBKLT_PWR_SW,
DDRVTT_EN,
PP1V05_TBTLC,
3V_S0,
PM_PCH_PWRGD,
PPDCIN_S5_CHGR,
PPVOUT_SO_LCDBKLT,
PP3V3_SO,PP3V3_SO is a typo of PP3V3_S0
PPCPUVTT_S0,
BLK_PWM,"BLK_PWM is a typo of BKL_PWM. When you see BLK_PWM assume the poster meant to type BKL_PWM. BKL_PWM sets the brightness of the screen. The system will send a PWM signal to BKL_PWM pin to set brightness. If this is low, backlight voltage will boost higher than PPBUS_G3H input, but not enough to make the screen light properly."
SMBUS_SMC_0_S0_SDA,"SMBUS_SMC_0_S0_SDA is a data line between the system management controller(SMC), temperature sensors, GPU, and ALS(ambient light sensor). If this line is pulled down the machine may run slow or have the fans run fast all the time because the SMC can’t tell what the temperature of parts of the machine like fin stack are. Usual problem is bad webcam, unplug webcam to see if it fixes problem. "
PLT_RESET,PLT_RESET stands for platform reset. When this is asserted the machine will not POST. 
PPVIN_S0SW_LCDBKLT_R,
PP3V3S3_EN,"PP3V3S3_EN is a typo of P3V3S3_EN, which is a signal that turns on the PP3V3_S3 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. "
I2C_IOXP_SCL,
SMC_WIFI_PWR_EN,SMC_WIFI_PWR_EN is a signal that turns on power to the wifi circuit when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
AP_CLKREQ_Q_L,
PCIE_WAKE_L,
3V1_RTC,
PP1V_S0SW,
PP5V_PMICLDO,
1V2_S3,
PP12V_S0_FET,
CHGR_RST_IN_R,
PP3V0_G3H_RTC,
PP1V_PRIM,
DFR_DISP_RESET_L,
SYSCLK_CLK32K_RTCX1,
PP3V3_G3S_T,
PPVIN_SW_LCDBKLT_SW,
PP1V05_S0_REG_R,
SSD_PWR_EN_LB_L,
SSD_PCIE_CLKREQ_LB_L,
PP2V7_NAND_SSD0,
USBC_XB_CC2,USBC_XB_CC2 is a line between the USB-C muxing chip such as the CD3217 or CD3215 and the USB-C charger. Communication must happen on this line in order for the USB-C charger to put out 20v.
PM_EN_P3V3S5G,
P3V3G3S_EN,P3VG3S_EN is a signal that turns on the PP3V3_G3S power rail. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
I2C_SMC_PWR_3V3_SCL,
1V8_S2,
PP3V3_UPC0_LDO,
